Elapsed time;CPU;GPU1;GPU2
13:44:46,0;8.0;;
13:44:47,0;;71.0;0.0
13:44:48,0;7.0;;
13:44:49,0;;76.0;0.0
13:44:50,0;8.0;;
13:44:51,0;;78.0;0.0
13:44:52,0;7.0;;
13:44:53,0;;73.0;0.0
13:44:55,0;8.0;74.0;0.0
13:44:56,0;8.0;;
13:44:57,0;;74.0;0.0
13:44:58,0;8.0;;
13:44:59,0;;73.0;0.0
13:45:00,0;8.0;;
13:45:01,0;;73.0;0.0
13:45:02,0;7.0;;
13:45:03,0;;74.0;0.0
13:45:04,0;8.0;;
13:45:05,0;;73.0;0.0
13:45:06,0;7.0;;
13:45:07,0;;55.0;0.0
13:45:08,0;7.0;67.0;
13:45:09,0;;;0.0
13:45:10,0;7.0;67.0;
13:45:11,0;;;0.0
13:45:12,0;7.0;70.0;
13:45:13,0;;;0.0
13:45:14,0;7.0;73.0;
13:45:15,0;;;0.0
13:45:16,0;7.0;;
13:45:17,0;;73.0;0.0
13:45:19,0;8.0;52.0;0.0
13:45:20,0;7.0;;
13:45:21,0;;69.0;0.0
13:45:22,0;7.0;;
13:45:23,0;;79.0;
13:45:24,0;;;0.0
13:45:25,0;7.0;88.0;
13:45:26,0;;;0.0
13:45:27,0;7.0;72.0;0.0
13:45:28,0;6.0;;
13:45:29,0;;71.0;0.0
13:45:30,0;6.0;72.0;
13:45:31,0;;;0.0
13:45:32,0;6.0;73.0;
13:45:33,0;;;0.0
13:45:34,0;7.0;73.0;
13:45:35,0;;;0.0
13:45:36,0;6.0;72.0;0.0
13:45:37,0;6.0;;
13:45:38,0;;72.0;0.0
13:45:39,0;6.0;73.0;
13:45:40,0;;;0.0
13:45:41,0;6.0;73.0;0.0
13:45:42,0;6.0;;
13:45:43,0;;72.0;0.0
13:45:44,0;6.0;75.0;0.0
13:45:45,0;6.0;;
13:45:46,0;;74.0;0.0
13:45:47,0;6.0;60.0;
13:45:48,0;;;0.0
13:45:49,0;6.0;68.0;0.0
13:45:50,0;6.0;;
13:45:51,0;;68.0;0.0
13:45:52,0;6.0;68.0;0.0
13:45:54,0;6.0;70.0;0.0
13:45:55,0;6.0;72.0;
13:45:56,0;;;0.0
13:45:57,0;6.0;72.0;0.0
13:45:59,0;6.0;71.0;0.0
13:46:00,0;6.0;;
13:46:01,0;;72.0;0.0
13:46:02,0;6.0;71.0;
13:46:03,0;;;0.0
13:46:04,0;6.0;73.0;0.0
13:46:05,0;5.0;;
13:46:06,0;;74.0;0.0
13:46:07,0;6.0;75.0;0.0
13:46:09,0;6.0;74.0;0.0
13:46:10,0;6.0;73.0;
13:46:11,0;;;0.0
13:46:12,0;6.0;73.0;0.0
13:46:14,0;5.0;75.0;0.0
13:46:15,0;5.0;74.0;
13:46:16,0;;;0.0
13:46:17,0;5.0;75.0;0.0
13:46:19,0;6.0;64.0;0.0
13:46:20,0;5.0;69.0;
13:46:21,0;;;0.0
13:46:22,0;5.0;76.0;0.0
13:46:23,0;5.0;69.0;
13:46:24,0;;;0.0
13:46:25,0;6.0;68.0;0.0
13:46:26,0;6.0;;
13:46:27,0;;71.0;0.0
13:46:28,0;5.0;72.0;
13:46:29,0;;;0.0
13:46:30,0;5.0;74.0;0.0
13:46:31,0;5.0;;
13:46:32,0;;94.0;0.0
13:46:33,0;5.0;74.0;0.0
13:46:35,0;5.0;63.0;0.0
13:46:36,0;9.0;71.0;
13:46:37,0;;;0.0
13:46:38,0;9.0;92.0;0.0
13:46:39,0;8.0;93.0;
13:46:40,0;;;0.0
13:46:41,0;5.0;73.0;0.0
13:46:43,0;5.0;93.0;0.0
13:46:44,0;16.0;73.0;
13:46:45,0;;;0.0
13:46:46,0;7.0;75.0;0.0
13:46:47,0;10.0;;
13:46:48,0;;79.0;0.0
13:46:49,0;20.0;77.0;0.0
13:46:51,0;12.0;78.0;0.0
13:46:52,0;11.0;78.0;
13:46:53,0;;;0.0
13:46:54,0;15.0;79.0;0.0
13:46:55,0;12.0;;
13:46:56,0;;79.0;0.0
13:46:57,0;12.0;79.0;
13:46:58,0;;;0.0
13:46:59,0;15.0;78.0;0.0
13:47:00,0;11.0;;
13:47:01,0;;77.0;0.0
13:47:02,0;11.0;77.0;
13:47:03,0;;;0.0
13:47:04,0;10.0;90.0;0.0
13:47:05,0;8.0;;
13:47:06,0;;88.0;0.0
13:47:07,0;5.0;;
13:47:08,0;;72.0;0.0
13:47:09,0;5.0;73.0;0.0
13:47:10,0;7.0;;
13:47:11,0;;71.0;0.0
13:47:12,0;5.0;;
13:47:13,0;;71.0;0.0
13:47:14,0;7.0;;
13:47:15,0;;77.0;0.0
13:47:16,0;11.0;75.0;0.0
13:47:18,0;11.0;77.0;0.0
13:47:19,0;11.0;;
13:47:20,0;;78.0;0.0
13:47:21,0;9.0;80.0;
13:47:22,0;;;0.0
13:47:23,0;10.0;;
13:47:24,0;;78.0;0.0
13:47:25,0;10.0;78.0;
13:47:26,0;;;0.0
13:47:27,0;11.0;77.0;0.0
13:47:28,0;11.0;;
13:47:29,0;;77.0;0.0
13:47:30,0;11.0;77.0;
13:47:31,0;;;0.0
13:47:32,0;9.0;57.0;0.0
13:47:33,0;5.0;;
13:47:34,0;;71.0;0.0
13:47:35,0;7.0;72.0;
13:47:36,0;;;0.0
13:47:37,0;7.0;72.0;0.0
13:47:38,0;7.0;;
13:47:39,0;;71.0;0.0
13:47:40,0;7.0;70.0;0.0
13:47:42,0;7.0;68.0;0.0
13:47:43,0;6.0;;
13:47:44,0;;71.0;0.0
13:47:45,0;6.0;79.0;0.0
13:47:47,0;7.0;72.0;0.0
13:47:48,0;14.0;71.0;
13:47:49,0;;;0.0
13:47:50,0;6.0;70.0;0.0
13:47:52,0;7.0;66.0;0.0
13:47:53,0;6.0;;
13:47:54,0;;72.0;0.0
13:47:55,0;5.0;89.0;0.0
13:47:56,0;16.0;;
13:47:57,0;;68.0;0.0
13:47:58,0;10.0;;
13:47:59,0;;95.0;0.0
13:48:00,0;7.0;73.0;0.0
13:48:02,0;6.0;74.0;0.0
13:48:03,0;5.0;94.0;
13:48:04,0;;;0.0
13:48:05,0;7.0;92.0;0.0
13:48:06,0;10.0;;
13:48:07,0;;74.0;0.0
13:48:08,0;11.0;74.0;
13:48:09,0;;;0.0
13:48:10,0;6.0;75.0;0.0
13:48:11,0;9.0;;
13:48:12,0;;74.0;0.0
13:48:13,0;6.0;73.0;
13:48:14,0;;;0.0
13:48:15,0;6.0;74.0;
13:48:16,0;;;0.0
13:48:17,0;5.0;73.0;
13:48:18,0;;;0.0
13:48:19,0;5.0;74.0;0.0
13:48:20,0;6.0;;
13:48:21,0;;71.0;0.0
13:48:22,0;8.0;55.0;
13:48:23,0;;;0.0
13:48:24,0;6.0;93.0;
13:48:25,0;;;0.0
13:48:26,0;21.0;72.0;
13:48:27,0;;;0.0
13:48:28,0;5.0;73.0;0.0
13:48:29,0;13.0;;
13:48:30,0;;73.0;0.0
13:48:31,0;5.0;72.0;0.0
13:48:33,0;9.0;73.0;0.0
13:48:34,0;5.0;71.0;
13:48:35,0;;;0.0
13:48:36,0;6.0;71.0;0.0
13:48:37,0;6.0;;
13:48:38,0;;76.0;0.0
13:48:39,0;7.0;73.0;0.0
13:48:41,0;6.0;74.0;0.0
13:48:42,0;6.0;;
13:48:43,0;;73.0;0.0
13:48:44,0;5.0;74.0;
13:48:45,0;;;0.0
13:48:46,0;5.0;73.0;0.0
13:48:47,0;5.0;;
13:48:48,0;;59.0;0.0
13:48:49,0;6.0;92.0;
13:48:50,0;;;0.0
13:48:51,0;5.0;74.0;0.0
13:48:52,0;5.0;;
13:48:53,0;;74.0;0.0
13:48:54,0;5.0;93.0;
13:48:55,0;;;0.0
13:48:56,0;10.0;73.0;
13:48:57,0;;;0.0
13:48:58,0;8.0;75.0;0.0
13:48:59,0;7.0;;
13:49:00,0;;74.0;0.0
13:49:01,0;5.0;74.0;
13:49:02,0;;;0.0
13:49:03,0;7.0;75.0;0.0
13:49:04,0;17.0;;
13:49:05,0;;56.0;0.0
13:49:06,0;18.0;71.0;
13:49:07,0;;;0.0
13:49:08,0;8.0;74.0;0.0
13:49:09,0;6.0;;
13:49:10,0;;75.0;0.0
13:49:11,0;8.0;;
13:49:12,0;;72.0;0.0
13:49:13,0;6.0;;
13:49:14,0;;72.0;0.0
13:49:15,0;9.0;30.0;
13:49:16,0;;;0.0
13:49:17,0;8.0;92.0;
13:49:18,0;;;0.0
13:49:19,0;9.0;76.0;0.0
13:49:21,0;7.0;76.0;0.0
13:49:22,0;6.0;75.0;
13:49:23,0;;;0.0
13:49:24,0;7.0;94.0;
13:49:25,0;;;0.0
13:49:26,0;7.0;74.0;0.0
13:49:27,0;8.0;;
13:49:28,0;;75.0;0.0
13:49:29,0;7.0;73.0;
13:49:30,0;;;0.0
13:49:31,0;6.0;74.0;0.0
13:49:32,0;7.0;;
13:49:33,0;;75.0;0.0
13:49:34,0;8.0;72.0;
13:49:35,0;;;0.0
13:49:36,0;7.0;74.0;0.0
13:49:37,0;6.0;;
13:49:38,0;;73.0;0.0
13:49:39,0;6.0;;
13:49:40,0;;75.0;0.0
13:49:41,0;6.0;;
13:49:42,0;;94.0;0.0
13:49:43,0;24.0;71.0;
13:49:44,0;;;0.0
13:49:45,0;6.0;84.0;
13:49:46,0;;;0.0
13:49:47,0;8.0;80.0;0.0
13:49:48,0;7.0;;
13:49:49,0;;72.0;0.0
13:49:50,0;6.0;;
13:49:51,0;;86.0;0.0
13:49:52,0;25.0;;
13:49:53,0;;67.0;0.0
13:49:54,0;15.0;;
13:49:55,0;;69.0;0.0
13:49:56,0;6.0;;
13:49:57,0;;70.0;0.0
13:49:58,0;7.0;;
13:49:59,0;;73.0;0.0
13:50:01,0;7.0;72.0;0.0
13:50:02,0;15.0;;
13:50:03,0;;74.0;0.0
13:50:05,0;6.0;73.0;0.0
13:50:06,0;7.0;;
13:50:07,0;;73.0;0.0
13:50:08,0;7.0;;
13:50:09,0;;66.0;0.0
13:50:10,0;7.0;;
13:50:11,0;;93.0;0.0
13:50:12,0;7.0;;
13:50:13,0;;70.0;0.0
13:50:14,0;8.0;;
13:50:15,0;;87.0;0.0
13:50:16,0;6.0;;
13:50:17,0;;70.0;0.0
13:50:18,0;7.0;72.0;
13:50:19,0;;;0.0
13:50:20,0;7.0;73.0;0.0
13:50:22,0;6.0;70.0;0.0
13:50:23,0;7.0;;
13:50:24,0;;92.0;0.0
13:50:25,0;7.0;;
13:50:26,0;;93.0;0.0
13:50:27,0;6.0;72.0;
13:50:28,0;;;0.0
13:50:29,0;6.0;93.0;0.0
13:50:31,0;6.0;74.0;0.0
13:50:32,0;6.0;72.0;0.0
13:50:34,0;9.0;74.0;0.0
13:50:35,0;7.0;73.0;
13:50:36,0;;;0.0
13:50:37,0;7.0;70.0;0.0
13:50:38,0;7.0;;
13:50:39,0;;74.0;0.0
13:50:40,0;6.0;;
13:50:41,0;;70.0;0.0
13:50:42,0;6.0;72.0;0.0
13:50:44,0;6.0;77.0;0.0
13:50:45,0;6.0;;
13:50:46,0;;71.0;0.0
13:50:47,0;7.0;71.0;
13:50:48,0;;;0.0
13:50:49,0;5.0;72.0;
13:50:50,0;;;0.0
13:50:51,0;6.0;74.0;0.0
13:50:52,0;6.0;;
13:50:53,0;;74.0;0.0
13:50:54,0;7.0;71.0;
13:50:55,0;;;0.0
13:50:56,0;7.0;70.0;
13:50:57,0;;;0.0
13:50:58,0;6.0;73.0;0.0
13:50:59,0;5.0;;
13:51:00,0;;75.0;0.0
13:51:01,0;6.0;;
13:51:02,0;;87.0;0.0
13:51:03,0;7.0;93.0;0.0
13:51:05,0;5.0;70.0;0.0
13:51:06,0;7.0;;
13:51:07,0;;75.0;0.0
13:51:08,0;7.0;73.0;
13:51:09,0;;;0.0
13:51:10,0;6.0;77.0;
13:51:11,0;;;0.0
13:51:12,0;5.0;70.0;0.0
13:51:14,0;6.0;71.0;0.0
13:51:15,0;6.0;;
